plan_index,line_number,motion,movement_type,pcb_x_mm,pcb_y_mm,machine_x_mm,machine_y_mm,programmed_z_mm,surface_z_machine_mm,delta_z_mm,final_z_mm,feed_mm_min,uses_surface_map
205,7,G1,movimiento_lineal,11.6,8.0,111.6,208.0,-0.1,3.5582000000000003,0.5582,3.4582,240.0,True
206,7,G1,movimiento_lineal,11.5,8.0,111.5,208.0,-0.1,3.553,0.553,3.453,240.0,True
207,7,G1,movimiento_lineal,11.4,8.0,111.4,208.0,-0.1,3.5478,0.5478000000000001,3.4478,240.0,True
208,7,G1,movimiento_lineal,11.3,8.0,111.3,208.0,-0.1,3.5426,0.5426000000000001,3.4426,240.0,True
209,7,G1,movimiento_lineal,11.2,8.0,111.2,208.0,-0.1,3.5374,0.5374,3.4374,240.0,True
210,7,G1,movimiento_lineal,11.1,8.0,111.1,208.0,-0.1,3.5322,0.5322,3.4322,240.0,True
211,7,G1,movimiento_lineal,11.0,8.0,111.0,208.0,-0.1,3.527,0.527,3.427,240.0,True
212,7,G1,movimiento_lineal,10.9,8.0,110.9,208.0,-0.1,3.5218,0.5218,3.4217999999999997,240.0,True
213,7,G1,movimiento_lineal,10.8,8.0,110.8,208.0,-0.1,3.5166,0.5166000000000001,3.4166,240.0,True
214,7,G1,movimiento_lineal,10.7,8.0,110.7,208.0,-0.1,3.5114,0.5114,3.4114,240.0,True
215,7,G1,movimiento_lineal,10.6,8.0,110.6,208.0,-0.1,3.5061999999999998,0.5062,3.4061999999999997,240.0,True
216,7,G1,movimiento_lineal,10.5,8.0,110.5,208.0,-0.1,3.5010000000000003,0.5010000000000001,3.4010000000000002,240.0,True
